"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Variável x Ano x Produto das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Área plantada (Hectares)"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)"
"MU","4305603","Colorado (RS)","8","8","8","4","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305702","Condor (RS)","10","10","10","3","1","1","2","-","-","-","-","-","-","-","-","-","-"
"MU","4305801","Constantina (RS)","5","5","5","4","4","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305835","Coqueiro Baixo (RS)","5","5","5","3","3","3","3","3","-","-","-","-","-","-","-","-","-"
"MU","4305850","Coqueiros do Sul (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305871","Coronel Barros (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305900","Coronel Bicaco (RS)","270","350","350","350","70","10","10","-","-","-","-","-","-","-","-","-","60"
"MU","4305934","Coronel Pilar (RS)","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305959","Cotiporã (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4305975","Coxilha (RS)","4","4","4","4","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306007","Crissiumal (RS)","5","5","5","5","1","3","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306056","Cristal (RS)","5655","5005","5005","7210","7010","7050","6030","5550","5500","5580","5000","5500","5000","5000","5080","5080","5000"
"MU","4306072","Cristal do Sul (RS)","20","20","20","20","18","5","3","1","-","-","-","1","-","-","-","1","1"
"MU","4306106","Cruz Alta (RS)","80","80","60","30","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306130","Cruzaltense (RS)","3","3","3","3","3","3","3","3","3","3","-","-","-","-","-","-","-"
"MU","4306205","Cruzeiro do Sul (RS)","710","710","710","710","760","760","610","780","780","780","775","672","672","632","652","672","632"
"MU","4306304","David Canabarro (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306320","Derrubadas (RS)","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306353","Dezesseis de Novembro (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306379","Dilermando de Aguiar (RS)","2110","2100","3400","3400","3400","3400","3060","3280","3280","2700","2000","2000","2700","2700","2500","2700","2700"
"MU","4306403","Dois Irmãos (RS)","1","1","1","1","1","1","1","1","1","1","1","1","1","-","-","-","-"
"MU","4306429","Dois Irmãos das Missões (RS)","22","22","22","22","1","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306452","Dois Lajeados (RS)","15","15","5","-","-","-","-","-","-","-","-","1","-","-","-","-","-"
"MU","4306502","Dom Feliciano (RS)","90","50","50","85","50","55","55","55","55","55","55","35","35","30","30","30","25"
"MU","4306551","Dom Pedro de Alcântara (RS)","275","275","275","275","275","227","226","120","50","50","50","80","80","100","100","100","200"
"MU","4306601","Dom Pedrito (RS)","43900","27600","46600","46600","42400","50585","32800","40870","45650","47366","45892","46873","44990","38923","35841","30291","33000"
"MU","4306700","Dona Francisca (RS)","2300","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350"
"MU","4306734","Doutor Maurício Cardoso (RS)","5","2","2","2","2","2","2","2","2","2","2","2","2","2","-","-","-"
"MU","4306759","Doutor Ricardo (RS)","5","5","5","3","3","2","1","1","2","3","-","-","-","-","-","-","-"
"MU","4306767","Eldorado do Sul (RS)","8745","8644","8405","9340","9667","10901","10372","10552","11600","11781","11616","11616","11616","11583","11386","11386","11854"
"MU","4306809","Encantado (RS)","2","2","2","2","2","2","2","2","2","-","-","-","-","-","-","-","-"
"MU","4306908","Encruzilhada do Sul (RS)","1050","1050","1050","1510","1510","1560","1560","1500","1500","1570","1500","1500","1500","1350","700","1034","1092"
"MU","4306924","Engenho Velho (RS)","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306932","Entre-Ijuís (RS)","12","12","12","12","12","12","-","-","-","-","-","-","-","-","-","-","-"
