ibge,id_mun,latitude,longitude,municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4304713,430471,-29.778637,-50.435756,Caraá,180,180,180,180,270,234,234,234,150,150,150,156,167,167,190,272,272,272,272,272,272,272,177
4304705,430470,-28.286511,-52.791897,Carazinho,100,50,10,10,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4304804,430480,-29.298297,-51.503818,Carlos Barbosa,8,8,8,8,8,8,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4304853,430485,-27.714892,-51.917576,Carlos Gomes,17,17,17,17,17,15,5,5,5,5,2,5,5,5,2,2,2,2,2,3,2,2,1
4304903,430490,-28.559874,-51.983233,Casca,30,30,30,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4304952,430495,-28.273565,-51.692683,Caseiros,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305009,430500,-28.254234,-54.012387,Catuípe,200,350,330,80,45,15,15,10,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
4305108,430510,-29.166899,-51.17886,Caxias do Sul,10,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305116,430511,-27.762847,-52.002054,Centenário,70,50,50,50,45,30,5,5,5,5,3,5,5,5,5,8,5,5,5,5,6,6,6
4305124,430512,-31.852639,-52.814802,Cerrito,800,800,800,800,840,620,700,700,555,1061,1166,1242,1007,935,688,724,225,286,238,206,155,246,188
4305132,430513,-29.656287,-52.941978,Cerro Branco,1070,1170,926,926,926,930,930,930,900,950,950,1050,976,936,940,950,1000,1000,1150,1050,1050,1050,1030
4305157,430515,-27.60798,-53.165913,Cerro Grande,40,40,40,40,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4305173,430517,-30.602029,-51.753103,Cerro Grande do Sul,756,756,756,606,654,745,745,745,745,745,745,745,745,745,745,745,745,704,704,600,550,660,550
4305207,430520,-28.147841,-54.739997,Cerro Largo,8,5,5,0,5,5,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4305306,430530,-28.05845,-53.067277,Chapada,100,100,80,80,80,80,80,80,80,80,15,8,5,5,5,5,2,2,2,2,1,0,0
4305355,430535,-29.9568,-51.625006,Charqueadas,3750,2850,0,3200,2850,3000,3100,3100,3200,4000,4000,4400,4300,4552,4800,4800,5100,4674,4960,3902,3700,3900,4300
4305371,430537,-27.952831,-52.029412,Charrua,15,15,15,15,15,150,20,20,10,10,10,10,5,5,3,0,0,0,0,0,0,0,0
4305405,430540,-27.917365,-53.94575,Chiapetta,270,320,120,70,70,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305439,430543,-33.687567,-53.462675,Chuí,2268,2989,2000,2500,3200,3000,2344,3741,3505,3785,3665,4028,3004,3161,4000,3422,4121,3343,3044,3326,3009,3135,3215
